cell_type	contrast	pathway_name	pathway_source	tier	NES	pvalue	padj_bh	leading_edge_genes	leading_edge_size	n_set_genes	n_panel_genes	dataset
Adipocyte	MBRT_vs_SBRT	HALLMARK_HEDGEHOG_SIGNALING	MSigDB_Hallmark	exploratory	-1.00165458732696	0.485822306238185	0.743022350717224	Vegfa,Adgrg1	2	36	4	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	exploratory	-0.966356414022773	0.515497553017945	0.765882078769518	Apoe,Tnfrsf1a,Ptges3,Il1r1,Igf1	5	203	19	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	-0.936146693864342	0.563327032136106	0.813694601974375	Ldha,Glud1	2	199	4	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	exploratory	0.913995572924195	0.586901763224181	0.824834910477228	Tcl1,Cd80,Egf,Ifi44l,Celsr2,Ifng,Krt4	7	202	18	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	-0.916920364776203	0.614060258249641	0.840292984973193	Lum,Dcn,Hmgb2,Top2a,Ifngr1,Bgn,Sod1,Pdgfrb,Ccnd1,Gpx1,Gsn,Ctnnb1,Fasl,Krt18,Lmna	15	160	63	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	exploratory	0.873804804908687	0.730061349693252	0.912165296226017	Mmp12,Cxcl1,Gata3,Lgals3,Cd55,Casp3,S100a9,Cxcl2,Olr1,Il6,Gzmk,Spock2	12	196	42	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	exploratory	0.759806446973154	0.74321503131524	0.912165296226017	Tyms	1	150	5	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	exploratory	-0.831874800462568	0.762589928057554	0.912165296226017	Xbp1,Sell,Ifngr1,Spry4,Il4ra,Cd81,Col6a1,Cd48,Il10,Bmpr2	10	199	58	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	exploratory	0.893476580420033	0.707692307692308	0.912165296226017	Cdkn1a,Il1b,Cxcl5,Cd55,Tnfsf9,Inhba,Il1a,Nlrp3,Cd69,Cmklr1,Ccrl2,Olr1,Ccl20,Il6,Msr1,Cd40,Osm,Csf3r,Acvr2a	19	201	85	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	exploratory	-0.837682142610253	0.6944	0.912165296226017	Sell,Il4ra,Cd74,Il15,B2m,Csf1,Cxcl10,Bst2	8	100	23	Mutter_02
