sample_id	cell_type	n_cells	fraction	condition	timepoint_h	dataset	slide_id
sam0022	NK cells	161	0.000847172233798489	MBRT_4h	4	Mutter_02	sld0008
sam0022	T cells	153	0.000805076719075582	MBRT_4h	4	Mutter_02	sld0008
sam0022	Mast cells	106	0.000557765570078508	MBRT_4h	4	Mutter_02	sld0008
sam0022	Plasma cells	44	0.000231525330975985	MBRT_4h	4	Mutter_02	sld0008
sam0022	Epithelial cells	20	0.000105238786807266	MBRT_4h	4	Mutter_02	sld0008
sam0022	Neutrophils	13	6.84052114247227e-05	MBRT_4h	4	Mutter_02	sld0008
sam0023	Tumor	251359	0.670192371785471	SBRT_4h	4	Mutter_02	sld0008
sam0023	Fibroblast	60461	0.161205689832158	SBRT_4h	4	Mutter_02	sld0008
sam0023	Macrophages	26233	0.0699444081534708	SBRT_4h	4	Mutter_02	sld0008
sam0023	unassigned	21055	0.0561384330298223	SBRT_4h	4	Mutter_02	sld0008
sam0023	Endothelial	5037	0.0134300302622282	SBRT_4h	4	Mutter_02	sld0008
sam0023	Adipocyte	4190	0.0111716948180933	SBRT_4h	4	Mutter_02	sld0008
sam0023	ILC	3059	0.00815613709989202	SBRT_4h	4	Mutter_02	sld0008
sam0023	SmoothMuscle	2433	0.00648704856621029	SBRT_4h	4	Mutter_02	sld0008
sam0023	T cells	463	0.00123448560877738	SBRT_4h	4	Mutter_02	sld0008
sam0023	NK cells	308	0.000821212888776313	SBRT_4h	4	Mutter_02	sld0008
sam0023	Mast cells	221	0.000589246910453134	SBRT_4h	4	Mutter_02	sld0008
sam0023	DC	154	0.000410606444388156	SBRT_4h	4	Mutter_02	sld0008
sam0023	Plasma cells	46	0.000122648678193865	SBRT_4h	4	Mutter_02	sld0008
sam0023	Epithelial cells	23	6.13243390969325e-05	SBRT_4h	4	Mutter_02	sld0008
sam0023	Neutrophils	13	3.46615829678314e-05	SBRT_4h	4	Mutter_02	sld0008
