sample_id	cell_type	condition	slide_id	n_cells	total_counts	mean_libsize	frac_genes_with_count_gt_5
sam0016	Tumor	MBRT_day2	sld0006	63012	13514139	214.5	1
sam0017	Tumor	SBRT_day2	sld0006	61738	9032546	146.3	1
sam0018	Tumor	Control	sld0007	54203	11209340	206.8	1
sam0019	Tumor	MBRT_4h	sld0007	64227	14521156	226.1	1
sam0020	Tumor	SBRT_4h	sld0007	54214	9955553	183.6	1
sam0021	Tumor	Control	sld0008	48440	7397982	152.7	1
sam0022	Tumor	MBRT_4h	sld0008	110331	20070016	181.9	1
sam0023	Tumor	SBRT_4h	sld0008	251359	60804311	241.9	1
sam0001	unassigned	Control	sld0002	11384	483556	42.5	1
sam0002	unassigned	MBRT_1h	sld0004	4212	173958	41.3	1
sam0003	unassigned	MBRT_4h	sld0004	26240	1041817	39.7	1
sam0004	unassigned	MBRT_day2	sld0001	23907	917578	38.4	1
sam0005	unassigned	MBRT_day6	sld0001	32856	1168766	35.6	1
sam0006	unassigned	SBRT_4h	sld0004	24206	1007685	41.6	1
sam0007	unassigned	SBRT_day2	sld0002	15565	594854	38.2	1
sam0008	unassigned	SBRT_day6	sld0002	28980	1085759	37.5	1
sam0012	unassigned	Control	sld0005	50395	2596445	51.5	1
sam0013	unassigned	MBRT_day2	sld0005	36138	1639836	45.4	1
sam0014	unassigned	SBRT_day2	sld0005	25210	1278981	50.7	1
sam0015	unassigned	Control	sld0006	45934	2461027	53.6	1
sam0016	unassigned	MBRT_day2	sld0006	35012	1527066	43.6	1
sam0017	unassigned	SBRT_day2	sld0006	9661	471658	48.8	0.9989
sam0018	unassigned	Control	sld0007	5530	265066	47.9	0.9958
sam0019	unassigned	MBRT_4h	sld0007	7087	335805	47.4	0.9989
sam0020	unassigned	SBRT_4h	sld0007	7944	376830	47.4	0.9989
sam0021	unassigned	Control	sld0008	10023	438054	43.7	1
sam0022	unassigned	MBRT_4h	sld0008	19892	882422	44.4	1
sam0023	unassigned	SBRT_4h	sld0008	21055	1050130	49.9	1
