sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0003	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0294176022029722	0.162698934236515	-0.0464824755689552	3003	MBRT_4h	4	Mutter_01	sld0004	199	38	0.191
sam0004	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0302819037958085	0.152457722947699	-0.0481102920945016	3027	MBRT_day2	48	Mutter_01	sld0001	199	38	0.191
sam0005	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0327534553440404	0.150770245925188	-0.0509242655657714	3757	MBRT_day6	144	Mutter_01	sld0001	199	38	0.191
sam0006	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0286113451309343	0.163613576979206	-0.0432347736092965	2618	SBRT_4h	4	Mutter_01	sld0004	199	38	0.191
sam0007	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0350496676823611	0.154241752998404	-0.0518261349877564	1570	SBRT_day2	48	Mutter_01	sld0002	199	38	0.191
sam0008	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0266665082015465	0.153298100411467	-0.0415645176089571	3185	SBRT_day6	144	Mutter_01	sld0002	199	38	0.191
sam0001	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.507086222383487	0.014554037926286	0.506080488701604	1393	Control	0	Mutter_01	sld0002	199	38	0.191
sam0002	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.507601611986485	0.0149498528254409	0.506144121722899	678	MBRT_1h	1	Mutter_01	sld0004	199	38	0.191
sam0003	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.507173327629222	0.0151899513495867	0.505924941316214	3003	MBRT_4h	4	Mutter_01	sld0004	199	38	0.191
sam0004	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.506841595040453	0.0141248310993924	0.505359314460251	3027	MBRT_day2	48	Mutter_01	sld0001	199	38	0.191
sam0005	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.506853287496832	0.0137794330025654	0.505387595803049	3757	MBRT_day6	144	Mutter_01	sld0001	199	38	0.191
sam0006	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.507399103608904	0.0154279726847574	0.506066348030204	2618	SBRT_4h	4	Mutter_01	sld0004	199	38	0.191
sam0007	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.506583122018863	0.0143597024260118	0.505387595803049	1570	SBRT_day2	48	Mutter_01	sld0002	199	38	0.191
sam0008	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	UCell	0.507233714841396	0.0140453444262616	0.506108770044402	3185	SBRT_day6	144	Mutter_01	sld0002	199	38	0.191
sam0001	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.0495275683778498	0.292381559307482	-0.15022688298552	1393	Control	0	Mutter_01	sld0002	44	10	0.2273
sam0002	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.0257255691086282	0.303311328520396	-0.139581192670768	678	MBRT_1h	1	Mutter_01	sld0004	44	10	0.2273
sam0003	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.022972976886634	0.31425967902428	-0.136033233381363	3003	MBRT_4h	4	Mutter_01	sld0004	44	10	0.2273
sam0004	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.0424550449395099	0.292827296443951	-0.13987795000614	3027	MBRT_day2	48	Mutter_01	sld0001	44	10	0.2273
sam0005	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.0473846493055728	0.291117084178082	-0.140483711022698	3757	MBRT_day6	144	Mutter_01	sld0001	44	10	0.2273
sam0006	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.0243883056577196	0.313013574259298	-0.136033233381363	2618	SBRT_4h	4	Mutter_01	sld0004	44	10	0.2273
sam0007	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.0463051283877435	0.297699516468643	-0.13987795000614	1570	SBRT_day2	48	Mutter_01	sld0002	44	10	0.2273
sam0008	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	AMS	-0.0315181754691662	0.295330682823578	-0.134104081471732	3185	SBRT_day6	144	Mutter_01	sld0002	44	10	0.2273
sam0001	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.496382844419481	0.027229100971679	0.487030174695606	1393	Control	0	Mutter_01	sld0002	44	10	0.2273
sam0002	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.499554242774891	0.0281695891672434	0.488618316569614	678	MBRT_1h	1	Mutter_01	sld0004	44	10	0.2273
sam0003	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.499148372361712	0.0289536370014966	0.488088935944944	3003	MBRT_4h	4	Mutter_01	sld0004	44	10	0.2273
sam0004	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.497744754593516	0.026634635644175	0.488088935944944	3027	MBRT_day2	48	Mutter_01	sld0001	44	10	0.2273
